UnitID,in-state-tuitition-2018
115409,54636
155140,480
181127,29200
212911,52994
383190,3084
460756,19473
141644,24550
153445,5042
198668,2574
156790,4080
490054,22575
450960,
384342,8550
145497,17630
203085,30200
180276,3229
166054,22490
481155,17072
156851,4080
107071,8530
107080,44070
173708,5198
170240,4694
198677,8328
101453,11232
235422,17914
191612,5120
200785,13850
140340,13850
101365,13850
459851,13850
433536,13850
459842,13850
240392,13850
174154,13850
457022,13850
386472,13850
155177,26318
173735,5310
177579,13920
198695,34005
155186,3540
145521,6231
180081,3351
235431,3936
191621,21800
225371,2295
134495,2506
175786,3080
203128,34300
220312,16469
191630,53525
134510,6595
203155,4390
367884,13940
191649,43960
232308,38285
175810,3110
129534,7750
150774,29734
212984,30346
115728,38188
166133,4662
457086,
203386,18260
141680,3054
162760,37960
170301,32780
488332,
120537,31800
156860,4080
457226,9300
218140,5044
191676,31540
129543,4276
225399,31730
225423,3360
458034,10713
225520,3970
162779,5880
225548,27690
131520,25697
184995,9558
191719,5632
164368,38850
115755,7493
115773,14004
101435,26400
488068,6155
237437,8100
150941,25540
449348,4560
212993,19650
486965,40100
487524,17561
225575,14346
155195,3392
372329,12600
142276,7166
483780,13820
434584,3820
145682,9150
145691,32140
145725,45864
145813,14061
145831,11250
145646,45856
213011,27350
115861,1142
155201,4096
465812,16968
153472,4080
134608,2764
151290,26370
151324,8916
213020,12119
151351,10533
151388,7207
151333,7207
151360,7207
151102,8330
151111,9334
151342,7207
151379,7207
151801,25980
488679,9645
115931,
187745,4960
461218,
454616,18750
431141,
128179,
128188,
138655,9890
442435,9770
138664,9770
367103,9770
443696,9530
440776,9530
367361,9530
366289,
481960,
442888,
443571,
116226,18250
436614,11250
225779,
151458,13960
151467,13960
203289,12569
173799,5332
191931,37682
153524,5340
153533,6236
153603,8636
153621,24600
153630,5664
116439,1142
191959,16650
198710,2542
173805,5325
175829,2840
191968,42884
159197,10575
150987,4255
101471,4968
232414,4886
101462,4410
170444,8288
220400,4125
175856,7621
225876,8000
101480,8166
134945,35260
203678,3845
232423,10830
198729,2542
192004,12600
191986,5670
225885,11720
215099,39280
177676,4890
231837,25850
156921,4160
192022,5257
101499,4088
101505,4500
455196,
192040,54684
419341,12725
220464,11070
146205,5506
107141,26144
101514,4520
203368,39990
462354,24900
232450,4608
198747,11230
146278,8100
162928,52170
445708,31508
439288,31508
414823,31508
460349,13365
217235,31508
198756,18236
213233,18567
155210,3300
230913,11730
220473,14920
132879,14920
198774,2657
146296,11340
175883,3480
461281,10480
101541,17896
146339,29434
213251,43875
170532,46840
170541,5646
146348,9840
155308,7640
177746,37800
155292,3248
155399,10135
155414,28980
141796,3084
480064,12475
260910,15352
153418,15352
260901,14263
367024,15352
162681,14263
489779,14263
181242,15352
160940,12475
153409,15352
489788,14263
181400,15352
490771,14263
146366,7530
141802,3132
225991,16625
185262,12107
183062,13868
192165,9700
135081,19224
170550,6072
146393,19828
161192,3757
486840,6347
177816,21540
203447,5664
203456,5664
203526,5664
203517,10012
203492,5664
203465,5664
203474,5664
203483,5664
157100,19256
157030,7760
157058,8184
157076,25070
203535,53560
203544,12408
169983,42490
192192,30946
461315,3020
134422,11085
213303,26670
226019,3504
220516,28572
382504,14340
213321,35830
153737,4586
170587,5610
146418,8880
428392,4170
146427,44958
213349,9987
171881,21090
481915,14225
456940,13745
445726,13310
213358,27720
213367,29500
117627,32130
155450,2940
165264,36103
260372,4590
213376,15160
213385,51600
140234,29480
117168,29800
219143,5264
203580,30862
146481,45548
146506,7814
170620,6105
200192,4336
173461,5153
170639,11427
117195,1224
235699,4137
135188,3172
203599,4165
238980,27760
183123,6972
239008,4184
127389,3908
441760,4689
226107,4288
226116,5924
226091,8314
213400,22580
418533,
218229,11700
247649,54750
220598,10690
209038,4650
117247,1230
207209,5936
140243,3282
213473,10800
170657,6560
240620,3426
226134,4500
366401,1138
166391,34600
117274,1127
250027,9914
408729,9914
215992,9914
454786,
166407,27655
170675,32190
239017,46101
101569,4440
230418,3340
192323,33905
220604,11196
213507,42180
226204,2488
220613,16730
413626,4198
198808,25878
141811,3084
213525,7260
213543,50740
198817,2551
198835,35350
166452,26675
226231,29320
209056,46988
146603,9192
146612,31250
142328,6334
232557,21310
117104,14884
140252,11715
192271,26395
218238,25025
146667,13020
146676,18100
128683,20050
163028,
126951,
226277,
151661,
434159,
146700,
221148,
146685,6072
220631,21410
213570,
213589,
403478,9743
117557,10830
177940,7632
213598,11379
177968,16960
157216,24246
209065,41682
209074,4731
219976,30932
180328,3200
434016,5140
192439,36978
192448,36978
421832,17104
198862,17763
213613,10576
177986,6860
227182,3403
117645,1188
192509,14475
232566,12720
166489,40780
203748,3753
153825,32886
232575,4627
490124,32093
117788,1220
446385,24304
436429,
117690,1220
117867,1220
368780,
381945,
117706,1220
117715,1220
117724,1220
117733,1220
117894,1312
198871,18581
159568,16000
449612,14575
483212,4158
159391,11374
159382,6669
159407,4392
159416,7166
159647,9645
203757,21540
235750,4275
117946,46386
146719,43078
163046,47560
159656,39492
226383,21794
363633,1298
101602,4440
153834,41020
135364,7240
213659,9300
213668,38618
232609,37690
230931,11730
132657,37510
106342,27340
173902,52464
146816,12660
192624,11300
146825,26100
170790,6041
238263,4341
364168,14708
148399,13366
157304,4080
170806,20700
153861,27530
161509,34050
161022,11506
161299,13278
203775,29900
129695,4276
183132,7232
151777,31660
192688,14070
155487,6030
155496,15418
192703,41412
192712,44600
192749,37910
213774,17029
213783,12316
239071,14910
192785,14610
151786,33000
239080,27400
203845,36040
101648,9418
203881,4480
192819,36780
230940,40425
239105,39900
198899,31804
237525,7798
153922,4656
198905,1886
173452,14680
220701,23800
151810,13200
487977,
232672,31110
170842,22750
163295,46990
118541,35884
192864,31950
232706,30876
220710,34196
178059,28470
213826,33940
166647,5088
166674,12700
167288,10135
166683,49892
166692,8398
166823,4680
454698,13079
198914,2558
157331,4080
200226,6456
456579,11180
458450,9828
443395,9720
213871,11292
438221,11346
367112,11128
438212,11005
446880,11330
482927,11640
164270,41800
198923,1900
147004,11616
147013,29640
226578,3990
226587,26887
159717,7920
155511,27823
166656,32590
490328,8400
489821,
487843,15679
487834,
192925,28360
455336,
490179,
192961,12595
220808,33130
118684,1423
118693,41350
118718,1150
185509,5088
140447,36000
193016,18714
153977,17600
203960,14710
213987,36320
480189,18450
198950,35916
244279,
175935,2964
166850,40190
118772,1230
105154,2094
173993,5329
188261,1812
193061,8600
193052,11510
193070,11250
417752,9120
213996,34160
147129,20750
198969,32860
178110,11375
245430,11375
245421,11375
190114,19180
181303,2970
177995,5520
174020,7859
127565,7352
135717,2838
451103,
204006,5173
204015,5173
204024,14958
369862,11140
204060,10740
200633,11540
450003,10980
169655,15917
171100,14460
171128,15074
171155,6847
245953,17830
151962,11900
199458,14080
181312,3120
481225,7024
239220,4371
155520,29670
482158,3924
220978,8612
230959,52496
129756,4276
166887,4802
185536,6936
226806,4230
181330,31630
218353,5222
147165,16230
157377,23950
178183,
178208,7810
457536,
226833,8694
480985,6400
489760,
193201,12285
461014,13365
101675,11794
180373,5415
461883,10844
449117,11490
458405,10980
455655,11165
460817,11200
456205,11100
198978,11105
460826,12100
441025,10940
443650,11400
382771,11030
458441,11080
460835,10880
233091,10820
475060,12060
448664,10800
475194,10660
214041,11858
486901,32500
147244,33066
118888,46236
175980,38930
239248,4491
449861,
239309,36230
239318,39429
178217,4720
174118,15100
174127,37812
174136,5396
175263,5630
173559,5335
174358,8468
173920,8164
173638,5692
200253,6810
118912,1152
193247,7260
214069,31660
118930,1189
176053,17392
176008,3030
176071,3670
176080,8318
176035,6614
176044,6422
178244,26020
178341,6067
179566,7306
179344,4230
178411,9246
178369,20200
178387,7570
129774,32442
198987,2651
219189,6592
178448,5010
118976,1162
105206,2112
193283,5058
193292,30310
147341,36400
185572,36732
193308,14976
193326,5139
171225,6380
180461,7079
180179,5833
180522,5861
180416,7125
171234,7410
185590,12455
119067,1176
163426,9618
199023,2537
214111,10350
199032,25730
166911,32000
147369,12960
214148,39833
119137,1388
239372,4461
147378,9426
214157,42024
157386,8950
140553,27278
460394,1426
127617,3677
163453,7766
154004,30490
218399,13458
147396,16100
196051,8249
147411,8212
221096,4147
169275,5098
214166,22430
209241,21404
204176,13442
166939,47940
166948,35720
219198,26310
239390,29510
154013,30582
204200,29100
193353,29920
119173,39608
163462,40550
204194,28090
166957,5428
232788,4598
237598,8215
226930,3330
444954,3744
209250,5126
119164,1349
119216,1386
398130,15688
118198,
214175,50830
209287,24680
207236,5050
